mb;fee;;
20N20,0%;8,26%;;
20N20,1%;8,35%;;
20N20,2%;8,44%;;
20N20,3%;8,53%;;
20N20,4%;8,62%;;
20N20,5%;8,71%;;
20N20,6%;8,80%;;
20N20,7%;8,89%;;
20N20,8%;8,98%;;
20N20,9%;9,07%;;
20N21,0%;9,16%;;
20N21,1%;9,25%;;
20N21,2%;9,34%;;
20N21,3%;9,43%;;
20N21,4%;9,52%;;
20N21,5%;9,61%;;
20N21,6%;9,70%;;
20N21,7%;9,79%;;
20N21,8%;9,88%;;
20N21,9%;9,97%;;
20N22,0%;10,06%;;
20N22,1%;10,15%;;
20N22,2%;10,24%;;
20N22,3%;10,33%;;
20N22,4%;10,42%;;
20N22,5%;10,51%;;
20N22,6%;10,60%;;
20N22,7%;10,69%;;
20N22,8%;10,78%;;
20N22,9%;10,87%;;
20N23,0%;10,96%;;
20N23,1%;11,05%;;
20N23,2%;11,14%;;
20N23,3%;11,23%;;
20N23,4%;11,32%;;
20N23,5%;11,41%;;
20N23,6%;11,50%;;
20N23,7%;11,59%;;
20N23,8%;11,68%;;
20N23,9%;11,77%;;
20N24,0%;11,86%;;
20N24,1%;11,95%;;
20N24,2%;12,04%;;
20N24,3%;12,13%;;
20N24,4%;12,22%;;
20N24,5%;12,31%;;
20N24,6%;12,40%;;
20N24,7%;12,49%;;
20N24,8%;12,58%;;
20N24,9%;12,67%;;
20N25,0%;12,76%;;
20N25,1%;12,85%;;
20N25,2%;12,94%;;
20N25,3%;13,03%;;
20N25,4%;13,12%;;
20N25,5%;13,21%;;
20N25,6%;13,30%;;
20N25,7%;13,39%;;
20N25,8%;13,48%;;
20N25,9%;13,57%;;
20N26,0%;13,66%;;
20N26,1%;13,75%;;
20N26,2%;13,84%;;
20N26,3%;13,93%;;
20N26,4%;14,02%;;
20N26,5%;14,11%;;
20N26,6%;14,20%;;
20N26,7%;14,29%;;
20N26,8%;14,38%;;
20N26,9%;14,47%;;
20N27,0%;14,56%;;
20N27,1%;14,65%;;
20N27,2%;14,74%;;
20N27,3%;14,83%;;
20N27,4%;14,92%;;
20N27,5%;15,01%;;
20N27,6%;15,10%;;
20N27,7%;15,19%;;
20N27,8%;15,28%;;
20N27,9%;15,37%;;
20N28,0%;15,46%;;
20N28,1%;15,55%;;
20N28,2%;15,64%;;
20N28,3%;15,73%;;
20N28,4%;15,82%;;
20N28,5%;15,91%;;
20N28,6%;16,00%;;
20N28,7%;16,09%;;
20N28,8%;16,18%;;
20N28,9%;16,27%;;
20N29,0%;16,36%;;
20N29,1%;16,45%;;
20N29,2%;16,54%;;
20N29,3%;16,63%;;
20N29,4%;16,72%;;
20N29,5%;16,81%;;
20N29,6%;16,90%;;
20N29,7%;16,99%;;
20N29,8%;17,08%;;
20N29,9%;17,17%;;
20N30,0%;17,26%;;
20N30,1%;17,35%;;
20N30,2%;17,44%;;
20N30,3%;17,53%;;
20N30,4%;17,62%;;
20N30,5%;17,71%;;
20N30,6%;17,80%;;
20N30,7%;17,89%;;
20N30,8%;17,98%;;
20N30,9%;18,07%;;
20N31,0%;18,16%;;
20N31,1%;18,25%;;
20N31,2%;18,34%;;
20N31,3%;18,43%;;
20N31,4%;18,52%;;
20N31,5%;18,61%;;
20N31,6%;18,70%;;
20N31,7%;18,79%;;
20N31,8%;18,88%;;
20N31,9%;18,97%;;
20N32,0%;19,06%;;
20N32,1%;19,15%;;
20N32,2%;19,24%;;
20N32,3%;19,33%;;
20N32,4%;19,42%;;
20N32,5%;19,51%;;
20N32,6%;19,60%;;
20N32,7%;19,69%;;
20N32,8%;19,78%;;
20N32,9%;19,87%;;
20N33,0%;19,96%;;
20N33,1%;20,05%;;
20N33,2%;20,14%;;
20N33,3%;20,23%;;
20N33,4%;20,32%;;
20N33,5%;20,41%;;
20N33,6%;20,50%;;
20N33,7%;20,59%;;
20N33,8%;20,68%;;
20N33,9%;20,77%;;
20N34,0%;20,86%;;
20N34,1%;20,95%;;
20N34,2%;21,04%;;
20N34,3%;21,13%;;
20N34,4%;21,22%;;
20N34,5%;21,31%;;
20N34,6%;21,40%;;
20N34,7%;21,49%;;
20N34,8%;21,58%;;
20N34,9%;21,67%;;
20N35,0%;21,76%;;
20N35,1%;21,85%;;
20N35,2%;21,94%;;
20N35,3%;22,03%;;
20N35,4%;22,12%;;
20N35,5%;22,21%;;
20N35,6%;22,30%;;
20N35,7%;22,39%;;
20N35,8%;22,48%;;
20N35,9%;22,57%;;
20N36,0%;22,66%;;
20N36,1%;22,75%;;
20N36,2%;22,84%;;
20N36,3%;22,93%;;
20N36,4%;23,02%;;
20N36,5%;23,11%;;
20N36,6%;23,20%;;
20N36,7%;23,29%;;
20N36,8%;23,38%;;
20N36,9%;23,47%;;
20N37,0%;23,56%;;
20N37,1%;23,65%;;
20N37,2%;23,74%;;
20N37,3%;23,83%;;
20N37,4%;23,92%;;
20N37,5%;24,01%;;
20N37,6%;24,10%;;
20N37,7%;24,19%;;
20N37,8%;24,28%;;
20N37,9%;24,37%;;
20N38,0%;24,46%;;
20N38,1%;24,55%;;
20N38,2%;24,64%;;
20N38,3%;24,73%;;
20N38,4%;24,82%;;
20N38,5%;24,91%;;
20N38,6%;25,00%;;
20N38,7%;25,09%;;
20N38,8%;25,18%;;
20N38,9%;25,27%;;
20N39,0%;25,36%;;
20N39,1%;25,45%;;
20N39,2%;25,54%;;
20N39,3%;25,63%;;
20N39,4%;25,72%;;
20N39,5%;25,81%;;
20N39,6%;25,90%;;
20N39,7%;25,99%;;
20N39,8%;26,08%;;
20N39,9%;26,17%;;
20N40,0%;26,26%;;
20N40,1%;26,35%;;
20N40,2%;26,44%;;
20N40,3%;26,53%;;
20N40,4%;26,62%;;
20N40,5%;26,71%;;
20N40,6%;26,80%;;
20N40,7%;26,89%;;
20N40,8%;26,98%;;
20N40,9%;27,07%;;
20N41,0%;27,16%;;
20N41,1%;27,25%;;
20N41,2%;27,34%;;
20N41,3%;27,43%;;
20N41,4%;27,52%;;
20N41,5%;27,61%;;
20N41,6%;27,70%;;
20N41,7%;27,79%;;
20N41,8%;27,88%;;
20N41,9%;27,97%;;
20N42,0%;28,06%;;
20N42,1%;28,15%;;
20N42,2%;28,24%;;
20N42,3%;28,33%;;
20N42,4%;28,42%;;
20N42,5%;28,51%;;
20N42,6%;28,60%;;
20N42,7%;28,69%;;
20N42,8%;28,78%;;
20N42,9%;28,87%;;
20N43,0%;28,96%;;
20N43,1%;29,05%;;
20N43,2%;29,14%;;
20N43,3%;29,23%;;
20N43,4%;29,32%;;
20N43,5%;29,41%;;
20N43,6%;29,50%;;
20N43,7%;29,59%;;
20N43,8%;29,68%;;
20N43,9%;29,77%;;
20N44,0%;29,86%;;
20N44,1%;29,95%;;
20N44,2%;30,04%;;
20N44,3%;30,13%;;
20N44,4%;30,22%;;
20N44,5%;30,31%;;
20N44,6%;30,40%;;
20N44,7%;30,49%;;
20N44,8%;30,58%;;
20N44,9%;30,67%;;
20N45,0%;30,76%;;
20N45,1%;30,85%;;
20N45,2%;30,94%;;
20N45,3%;31,03%;;
20N45,4%;31,12%;;
20N45,5%;31,21%;;
20N45,6%;31,30%;;
20N45,7%;31,39%;;
20N45,8%;31,48%;;
20N45,9%;31,57%;;
20N46,0%;31,66%;;
20N46,1%;31,75%;;
20N46,2%;31,84%;;
20N46,3%;31,93%;;
20N46,4%;32,02%;;
20N46,5%;32,11%;;
20N46,6%;32,20%;;
20N46,7%;32,29%;;
20N46,8%;32,38%;;
20N46,9%;32,47%;;
20N47,0%;32,56%;;
20N47,1%;32,65%;;
20N47,2%;32,74%;;
20N47,3%;32,83%;;
20N47,4%;32,92%;;
20N47,5%;33,01%;;
20N47,6%;33,10%;;
20N47,7%;33,19%;;
20N47,8%;33,28%;;
20N47,9%;33,37%;;
20N48,0%;33,46%;;
20N48,1%;33,55%;;
20N48,2%;33,64%;;
20N48,3%;33,73%;;
20N48,4%;33,82%;;
20N48,5%;33,91%;;
20N48,6%;34,00%;;
20N48,7%;34,09%;;
20N48,8%;34,18%;;
20N48,9%;34,27%;;
20N49,0%;34,36%;;
20N49,1%;34,45%;;
20N49,2%;34,54%;;
20N49,3%;34,63%;;
20N49,4%;34,72%;;
20N49,5%;34,81%;;
20N49,6%;34,90%;;
20N49,7%;34,99%;;
20N49,8%;35,08%;;
20N49,9%;35,17%;;
20N50,0%;35,26%;;
20N50,1%;35,35%;;
20N50,2%;35,44%;;
20N50,3%;35,53%;;
20N50,4%;35,62%;;
20N50,5%;35,71%;;
20N50,6%;35,80%;;
20N50,7%;35,89%;;
20N50,8%;35,98%;;
20N50,9%;36,07%;;
20N51,0%;36,16%;;
20N51,1%;36,25%;;
20N51,2%;36,34%;;
20N51,3%;36,43%;;
20N51,4%;36,52%;;
20N51,5%;36,61%;;
20N51,6%;36,70%;;
20N51,7%;36,79%;;
20N51,8%;36,88%;;
20N51,9%;36,97%;;
20N52,0%;37,06%;;
20N52,1%;37,15%;;
20N52,2%;37,24%;;
20N52,3%;37,33%;;
20N52,4%;37,42%;;
20N52,5%;37,51%;;
20N52,6%;37,60%;;
20N52,7%;37,69%;;
20N52,8%;37,78%;;
20N52,9%;37,87%;;
20N53,0%;37,96%;;
20N53,1%;38,05%;;
20N53,2%;38,14%;;
20N53,3%;38,23%;;
20N53,4%;38,32%;;
20N53,5%;38,41%;;
20N53,6%;38,50%;;
20N53,7%;38,59%;;
20N53,8%;38,68%;;
20N53,9%;38,77%;;
20N54,0%;38,86%;;
20N54,1%;38,95%;;
20N54,2%;39,04%;;
20N54,3%;39,13%;;
20N54,4%;39,22%;;
20N54,5%;39,31%;;
20N54,6%;39,40%;;
20N54,7%;39,49%;;
20N54,8%;39,58%;;
20N54,9%;39,67%;;
20N55,0%;39,76%;;
20N55,1%;39,85%;;
20N55,2%;39,94%;;
20N55,3%;40,03%;;
20N55,4%;40,12%;;
20N55,5%;40,21%;;
20N55,6%;40,30%;;
20N55,7%;40,39%;;
20N55,8%;40,48%;;
20N55,9%;40,57%;;
20N56,0%;40,66%;;
20N56,1%;40,75%;;
20N56,2%;40,84%;;
20N56,3%;40,93%;;
20N56,4%;41,02%;;
20N56,5%;41,11%;;
20N56,6%;41,20%;;
20N56,7%;41,29%;;
20N56,8%;41,38%;;
20N56,9%;41,47%;;
20N57,0%;41,56%;;
20N57,1%;41,65%;;
20N57,2%;41,74%;;
20N57,3%;41,83%;;
20N57,4%;41,92%;;
20N57,5%;42,01%;;
20N57,6%;42,10%;;
20N57,7%;42,19%;;
20N57,8%;42,28%;;
20N57,9%;42,37%;;
20N58,0%;42,46%;;
20N58,1%;42,55%;;
20N58,2%;42,64%;;
20N58,3%;42,73%;;
20N58,4%;42,82%;;
20N58,5%;42,91%;;
20N58,6%;43,00%;;
20N58,7%;43,09%;;
20N58,8%;43,18%;;
20N58,9%;43,27%;;
20N59,0%;43,36%;;
20N59,1%;43,45%;;
20N59,2%;43,54%;;
20N59,3%;43,63%;;
20N59,4%;43,72%;;
20N59,5%;43,81%;;
20N59,6%;43,90%;;
20N59,7%;43,99%;;
20N59,8%;44,08%;;
20N59,9%;44,17%;;
20N60,0%;44,26%;;
20N60,1%;44,35%;;
20N60,2%;44,44%;;
20N60,3%;44,53%;;
20N60,4%;44,62%;;
20N60,5%;44,71%;;
20N60,6%;44,80%;;
20N60,7%;44,89%;;
20N60,8%;44,98%;;
20N60,9%;45,07%;;
20N61,0%;45,16%;;
20N61,1%;45,25%;;
20N61,2%;45,34%;;
20N61,3%;45,43%;;
20N61,4%;45,52%;;
20N61,5%;45,61%;;
20N61,6%;45,70%;;
20N61,7%;45,79%;;
20N61,8%;45,88%;;
20N61,9%;45,97%;;
20N62,0%;46,06%;;
20N62,1%;46,15%;;
20N62,2%;46,24%;;
20N62,3%;46,33%;;
20N62,4%;46,42%;;
20N62,5%;46,51%;;
20N62,6%;46,60%;;
20N62,7%;46,69%;;
20N62,8%;46,78%;;
20N62,9%;46,87%;;
20N63,0%;46,96%;;
20N63,1%;47,05%;;
20N63,2%;47,14%;;
20N63,3%;47,23%;;
20N63,4%;47,32%;;
20N63,5%;47,41%;;
20N63,6%;47,50%;;
20N63,7%;47,59%;;
20N63,8%;47,68%;;
20N63,9%;47,77%;;
20N64,0%;47,86%;;
20N64,1%;47,95%;;
20N64,2%;48,04%;;
20N64,3%;48,13%;;
20N64,4%;48,22%;;
20N64,5%;48,31%;;
20N64,6%;48,40%;;
20N64,7%;48,49%;;
20N64,8%;48,58%;;
20N64,9%;48,67%;;
20N65,0%;48,76%;;
20N65,1%;48,85%;;
20N65,2%;48,94%;;
20N65,3%;49,03%;;
20N65,4%;49,12%;;
20N65,5%;49,21%;;
20N65,6%;49,30%;;
20N65,7%;49,39%;;
20N65,8%;49,48%;;
20N65,9%;49,57%;;
20N66,0%;49,66%;;
20N66,1%;49,75%;;
20N66,2%;49,84%;;
20N66,3%;49,93%;;
20N66,4%;50,02%;;
20N66,5%;50,11%;;
20N66,6%;50,20%;;
20N66,7%;50,29%;;
20N66,8%;50,38%;;
20N66,9%;50,47%;;
20N67,0%;50,56%;;
20N67,1%;50,65%;;
20N67,2%;50,74%;;
20N67,3%;50,83%;;
20N67,4%;50,92%;;
20N67,5%;51,01%;;
20N67,6%;51,10%;;
20N67,7%;51,19%;;
20N67,8%;51,28%;;
20N67,9%;51,37%;;
20N68,0%;51,46%;;
20N68,1%;51,55%;;
20N68,2%;51,64%;;
20N68,3%;51,73%;;
20N68,4%;51,82%;;
20N68,5%;51,91%;;
20N68,6%;52,00%;;
20N68,7%;52,09%;;
20N68,8%;52,18%;;
20N68,9%;52,27%;;
20N69,0%;52,36%;;
20N69,1%;52,45%;;
20N69,2%;52,54%;;
20N69,3%;52,63%;;
20N69,4%;52,72%;;
20N69,5%;52,81%;;
20N69,6%;52,90%;;
20N69,7%;52,99%;;
20N69,8%;53,08%;;
20N69,9%;53,17%;;
20N70,0%;53,26%;;
20N70,1%;53,35%;;
20N70,2%;53,44%;;
20N70,3%;53,53%;;
20N70,4%;53,62%;;
20N70,5%;53,71%;;
20N70,6%;53,80%;;
20N70,7%;53,89%;;
20N70,8%;53,98%;;
20N70,9%;54,07%;;
20N71,0%;54,16%;;
20N71,1%;54,25%;;
20N71,2%;54,34%;;
20N71,3%;54,43%;;
20N71,4%;54,52%;;
20N71,5%;54,61%;;
20N71,6%;54,70%;;
20N71,7%;54,79%;;
20N71,8%;54,88%;;
20N71,9%;54,97%;;
20N72,0%;55,06%;;
20N72,1%;55,15%;;
20N72,2%;55,24%;;
20N72,3%;55,33%;;
20N72,4%;55,42%;;
20N72,5%;55,51%;;
20N72,6%;55,60%;;
20N72,7%;55,69%;;
20N72,8%;55,78%;;
20N72,9%;55,87%;;
20N73,0%;55,96%;;
20N73,1%;56,05%;;
20N73,2%;56,14%;;
20N73,3%;56,23%;;
20N73,4%;56,32%;;
20N73,5%;56,41%;;
20N73,6%;56,50%;;
20N73,7%;56,59%;;
20N73,8%;56,68%;;
20N73,9%;56,77%;;
20N74,0%;56,86%;;
20N74,1%;56,95%;;
20N74,2%;57,04%;;
20N74,3%;57,13%;;
20N74,4%;57,22%;;
20N74,5%;57,31%;;
20N74,6%;57,40%;;
20N74,7%;57,49%;;
20N74,8%;57,58%;;
20N74,9%;57,67%;;
20N75,0%;57,76%;;
20N75,1%;57,85%;;
20N75,2%;57,94%;;
20N75,3%;58,03%;;
20N75,4%;58,12%;;
20N75,5%;58,21%;;
20N75,6%;58,30%;;
20N75,7%;58,39%;;
20N75,8%;58,48%;;
20N75,9%;58,57%;;
20N76,0%;58,66%;;
20N76,1%;58,75%;;
20N76,2%;58,84%;;
20N76,3%;58,93%;;
20N76,4%;59,02%;;
20N76,5%;59,11%;;
20N76,6%;59,20%;;
20N76,7%;59,29%;;
20N76,8%;59,38%;;
20N76,9%;59,47%;;
20N77,0%;59,56%;;
20N77,1%;59,65%;;
20N77,2%;59,74%;;
20N77,3%;59,83%;;
20N77,4%;59,92%;;
20N77,5%;60,01%;;
20N77,6%;60,10%;;
20N77,7%;60,19%;;
20N77,8%;60,28%;;
20N77,9%;60,37%;;
20N78,0%;60,46%;;
20N78,1%;60,55%;;
20N78,2%;60,64%;;
20N78,3%;60,73%;;
20N78,4%;60,82%;;
20N78,5%;60,91%;;
20N78,6%;61,00%;;
20N78,7%;61,09%;;
20N78,8%;61,18%;;
20N78,9%;61,27%;;
20N79,0%;61,36%;;
20N79,1%;61,45%;;
20N79,2%;61,54%;;
20N79,3%;61,63%;;
20N79,4%;61,72%;;
20N79,5%;61,81%;;
20N79,6%;61,90%;;
20N79,7%;61,99%;;
20N79,8%;62,08%;;
20N79,9%;62,17%;;
20N80,0%;62,26%;;
20N80,1%;62,35%;;
20N80,2%;62,44%;;
20N80,3%;62,53%;;
20N80,4%;62,62%;;
20N80,5%;62,71%;;
20N80,6%;62,80%;;
20N80,7%;62,89%;;
20N80,8%;62,98%;;
20N80,9%;63,07%;;
20N81,0%;63,16%;;
20N81,1%;63,25%;;
20N81,2%;63,34%;;
20N81,3%;63,43%;;
20N81,4%;63,52%;;
20N81,5%;63,61%;;
20N81,6%;63,70%;;
20N81,7%;63,79%;;
20N81,8%;63,88%;;
20N81,9%;63,97%;;
20N82,0%;64,06%;;
20N82,1%;64,15%;;
20N82,2%;64,24%;;
20N82,3%;64,33%;;
20N82,4%;64,42%;;
20N82,5%;64,51%;;
20N82,6%;64,60%;;
20N82,7%;64,69%;;
20N82,8%;64,78%;;
20N82,9%;64,87%;;
20N83,0%;64,96%;;
20N83,1%;65,05%;;
20N83,2%;65,14%;;
20N83,3%;65,23%;;
20N83,4%;65,32%;;
20N83,5%;65,41%;;
20N83,6%;65,50%;;
20N83,7%;65,59%;;
20N83,8%;65,68%;;
20N83,9%;65,77%;;
20N84,0%;65,86%;;
20N84,1%;65,95%;;
20N84,2%;66,04%;;
20N84,3%;66,13%;;
20N84,4%;66,22%;;
20N84,5%;66,31%;;
20N84,6%;66,40%;;
20N84,7%;66,49%;;
20N84,8%;66,58%;;
20N84,9%;66,67%;;
20N85,0%;66,76%;;
20N85,1%;66,85%;;
20N85,2%;66,94%;;
20N85,3%;67,03%;;
20N85,4%;67,12%;;
20N85,5%;67,21%;;
20N85,6%;67,30%;;
20N85,7%;67,39%;;
20N85,8%;67,48%;;
20N85,9%;67,57%;;
20N86,0%;67,66%;;
20N86,1%;67,75%;;
20N86,2%;67,84%;;
20N86,3%;67,93%;;
20N86,4%;68,02%;;
20N86,5%;68,11%;;
20N86,6%;68,20%;;
20N86,7%;68,29%;;
20N86,8%;68,38%;;
20N86,9%;68,47%;;
20N87,0%;68,56%;;
20N87,1%;68,65%;;
20N87,2%;68,74%;;
20N87,3%;68,83%;;
20N87,4%;68,92%;;
20N87,5%;69,01%;;
20N87,6%;69,10%;;
20N87,7%;69,19%;;
20N87,8%;69,28%;;
20N87,9%;69,37%;;
20N88,0%;69,46%;;
20N88,1%;69,55%;;
20N88,2%;69,64%;;
20N88,3%;69,73%;;
20N88,4%;69,82%;;
20N88,5%;69,91%;;
20N88,6%;70,00%;;
20N88,7%;70,09%;;
20N88,8%;70,18%;;
20N88,9%;70,27%;;
20N89,0%;70,36%;;
20N89,1%;70,45%;;
20N89,2%;70,54%;;
20N89,3%;70,63%;;
20N89,4%;70,72%;;
20N89,5%;70,81%;;
20N89,6%;70,90%;;
20N89,7%;70,99%;;
20N89,8%;71,08%;;
20N89,9%;71,17%;;
20N90,0%;71,26%;;
20N90,1%;71,35%;;
20N90,2%;71,44%;;
20N90,3%;71,53%;;
20N90,4%;71,62%;;
20N90,5%;71,71%;;
20N90,6%;71,80%;;
20N90,7%;71,89%;;
20N90,8%;71,98%;;
20N90,9%;72,07%;;
20N91,0%;72,16%;;
20N91,1%;72,25%;;
20N91,2%;72,34%;;
20N91,3%;72,43%;;
20N91,4%;72,52%;;
20N91,5%;72,61%;;
20N91,6%;72,70%;;
20N91,7%;72,79%;;
20N91,8%;72,88%;;
20N91,9%;72,97%;;
20N92,0%;73,06%;;
20N92,1%;73,15%;;
20N92,2%;73,24%;;
20N92,3%;73,33%;;
20N92,4%;73,42%;;
20N92,5%;73,51%;;
20N92,6%;73,60%;;
20N92,7%;73,69%;;
20N92,8%;73,78%;;
20N92,9%;73,87%;;
20N93,0%;73,96%;;
20N93,1%;74,05%;;
20N93,2%;74,14%;;
20N93,3%;74,23%;;
20N93,4%;74,32%;;
20N93,5%;74,41%;;
20N93,6%;74,50%;;
20N93,7%;74,59%;;
20N93,8%;74,68%;;
20N93,9%;74,77%;;
20N94,0%;74,86%;;
20N94,1%;74,95%;;
20N94,2%;75,04%;;
20N94,3%;75,13%;;
20N94,4%;75,22%;;
20N94,5%;75,31%;;
20N94,6%;75,40%;;
20N94,7%;75,49%;;
20N94,8%;75,58%;;
20N94,9%;75,67%;;
20N95,0%;75,76%;;
20N95,1%;75,85%;;
20N95,2%;75,94%;;
20N95,3%;76,03%;;
20N95,4%;76,12%;;
20N95,5%;76,21%;;
20N95,6%;76,30%;;
20N95,7%;76,39%;;
20N95,8%;76,48%;;
20N95,9%;76,57%;;
20N96,0%;76,66%;;
20N96,1%;76,75%;;
20N96,2%;76,84%;;
20N96,3%;76,93%;;
20N96,4%;77,02%;;
20N96,5%;77,11%;;
20N96,6%;77,20%;;
20N96,7%;77,29%;;
20N96,8%;77,38%;;
20N96,9%;77,47%;;
20N97,0%;77,56%;;
20N97,1%;77,65%;;
20N97,2%;77,74%;;
20N97,3%;77,83%;;
20N97,4%;77,92%;;
20N97,5%;78,01%;;
20N97,6%;78,10%;;
20N97,7%;78,19%;;
20N97,8%;78,28%;;
20N97,9%;78,37%;;
20N98,0%;78,46%;;
20N98,1%;78,55%;;
20N98,2%;78,64%;;
20N98,3%;78,73%;;
20N98,4%;78,82%;;
20N98,5%;78,91%;;
20N98,6%;79,00%;;
20N98,7%;79,09%;;
20N98,8%;79,18%;;
20N98,9%;79,27%;;
20N99,0%;79,36%;;
20N99,1%;79,45%;;
20N99,2%;79,54%;;
20N99,3%;79,63%;;
20N99,4%;79,72%;;
20N99,5%;79,81%;;
20N99,6%;79,90%;;
20N99,7%;79,99%;;
20N99,8%;80,08%;;
